"ID";"RegioS";"Code_1";"Naam_2";"SorteringNaam_3";"Inwonertal_54"
"268";"GM0093    ";"GM0093    ";"Terschelling                                      ";"Terschelling                                      ";"    4928"
"269";"GM0448    ";"GM0448    ";"Texel                                             ";"Texel                                             ";"   13979"
"270";"GM1525    ";"GM1525    ";"Teylingen                                         ";"Teylingen                                         ";"   38510"
"271";"GM0716    ";"GM0716    ";"Tholen                                            ";"Tholen                                            ";"   26825"
"272";"GM0281    ";"GM0281    ";"Tiel                                              ";"Tiel                                              ";"   42604"
"273";"GM0855    ";"GM0855    ";"Tilburg                                           ";"Tilburg                                           ";"  227707"
"274";"GM0183    ";"GM0183    ";"Tubbergen                                         ";"Tubbergen                                         ";"   21408"
"275";"GM1700    ";"GM1700    ";"Twenterand                                        ";"Twenterand                                        ";"   33867"
"276";"GM1730    ";"GM1730    ";"Tynaarlo                                          ";"Tynaarlo                                          ";"   34592"
"277";"GM0737    ";"GM0737    ";"Tytsjerksteradiel                                 ";"Tytsjerksteradiel                                 ";"   32408"
"278";"GM0450    ";"GM0450    ";"Uitgeest                                          ";"Uitgeest                                          ";"   13472"
"279";"GM0451    ";"GM0451    ";"Uithoorn                                          ";"Uithoorn                                          ";"   31442"
"280";"GM0184    ";"GM0184    ";"Urk                                               ";"Urk                                               ";"   21829"
"281";"GM0344    ";"GM0344    ";"Utrecht                                           ";"Utrecht                                           ";"  367947"
"282";"GM1581    ";"GM1581    ";"Utrechtse Heuvelrug                               ";"Utrechtse Heuvelrug                               ";"   50429"
"283";"GM0981    ";"GM0981    ";"Vaals                                             ";"Vaals                                             ";"   10190"
"284";"GM0994    ";"GM0994    ";"Valkenburg aan de Geul                            ";"Valkenburg aan de Geul                            ";"   16423"
"285";"GM0858    ";"GM0858    ";"Valkenswaard                                      ";"Valkenswaard                                      ";"   31527"
"286";"GM0047    ";"GM0047    ";"Veendam                                           ";"Veendam                                           ";"   27616"
"287";"GM0345    ";"GM0345    ";"Veenendaal                                        ";"Veenendaal                                        ";"   68525"
"288";"GM0717    ";"GM0717    ";"Veere                                             ";"Veere                                             ";"   22045"
"289";"GM0861    ";"GM0861    ";"Veldhoven                                         ";"Veldhoven                                         ";"   46417"
"290";"GM0453    ";"GM0453    ";"Velsen                                            ";"Velsen                                            ";"   68790"
"291";"GM0983    ";"GM0983    ";"Venlo                                             ";"Venlo                                             ";"  103328"
"292";"GM0984    ";"GM0984    ";"Venray                                            ";"Venray                                            ";"   44628"
"293";"GM1961    ";"GM1961    ";"Vijfheerenlanden                                  ";"Vijfheerenlanden                                  ";"   60052"
"294";"GM0622    ";"GM0622    ";"Vlaardingen                                       ";"Vlaardingen                                       ";"   75079"
"295";"GM0096    ";"GM0096    ";"Vlieland                                          ";"Vlieland                                          ";"    1291"
"296";"GM0718    ";"GM0718    ";"Vlissingen                                        ";"Vlissingen                                        ";"   45150"
"297";"GM0986    ";"GM0986    ";"Voerendaal                                        ";"Voerendaal                                        ";"   12405"
"298";"GM1992    ";"GM1992    ";"Voorne aan Zee                                    ";"Voorne aan Zee                                    ";"   73945"
"299";"GM0626    ";"GM0626    ";"Voorschoten                                       ";"Voorschoten                                       ";"   25665"
"300";"GM0285    ";"GM0285    ";"Voorst                                            ";"Voorst                                            ";"   25215"
"301";"GM0865    ";"GM0865    ";"Vught                                             ";"Vught                                             ";"   32113"
"302";"GM1949    ";"GM1949    ";"Waadhoeke                                         ";"Waadhoeke                                         ";"   46718"
"303";"GM0866    ";"GM0866    ";"Waalre                                            ";"Waalre                                            ";"   17980"
"304";"GM0867    ";"GM0867    ";"Waalwijk                                          ";"Waalwijk                                          ";"   49952"
"305";"GM0627    ";"GM0627    ";"Waddinxveen                                       ";"Waddinxveen                                       ";"   32601"
